headline,date,doc_type,material_type,section,keywords
"Winning South Carolina, Biden Makes Case Against Sanders: ‘Win Big or Lose’",2020-03-01,article,News,,"['Presidential Elections (US)', 'Primaries and Caucuses', 'Presidential Election of 2020', 'Voting and Voters', 'Black People', 'Blacks', 'Polls and Public Opinion']"
"At CPAC, Trump Takes Aim at Rivals",2020-03-01,article,News,,"['Presidential Election of 2020', 'Tax Cuts and Jobs Act (2017)', 'Appointments and Executive Changes', 'Coronavirus (2019-nCoV)']"
The Islanders Are Saying Goodbye to Brooklyn,2020-03-01,article,News,,"['Hockey, Ice', 'Stadiums and Arenas']"
Trump Moves to Calm Fears as First U.S. Death From Coronavirus Is Reported,2020-03-01,article,News,,"['Coronavirus (2019-nCoV)', 'Presidential Election of 2020']"
"Mother and Daughter Attacked for Speaking Spanish, Prosecutor Says",2020-03-01,article,News,,"['Assaults', 'Hate Crimes', 'Hispanic-Americans', 'Discrimination', 'Race and Ethnicity', 'Immigration and Emigration']"
Joe Biden Had a Big Night. He Needs Another in 72 Hours.,2020-03-01,article,News Analysis,,"['Primaries and Caucuses', 'Presidential Election of 2020', 'Campaign Finance', 'Voting and Voters', 'United States Politics and Government']"
"For Buttigieg, a Search for Black Support That Never Arrived",2020-03-01,article,News,,"['Primaries and Caucuses', 'Presidential Election of 2020', 'Black People', 'Blacks']"
Tom Steyer Drops Out of 2020 Presidential Race,2020-03-01,article,News,,"['Presidential Election of 2020', 'Campaign Finance', 'Primaries and Caucuses', 'United States Politics and Government']"
Joe Biden Lands First Big Primary Win,2020-03-01,multimedia,Video,,"['Presidential Election of 2020', 'Primaries and Caucuses']"
In Trump’s Words: Praise for the Taliban and Optimism About the Coronavirus,2020-03-01,article,News,,"['Politics and Government', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'Russian Interference in 2016 US Elections and Ties to Trump Associates']"
"Danielle Foster, Douglas Graham",2020-03-01,article,News,,['Weddings and Engagements']
"Thomas Schultz, Robert Blalock",2020-03-01,article,News,,['Weddings and Engagements']
"Avy Villaraza, Darnell Thompson",2020-03-01,article,News,,['Weddings and Engagements']
"Lauren Hard, Ronald Hernandez",2020-03-01,article,News,,['Weddings and Engagements']
"Corrections: March 1, 2020",2020-03-01,article,News,,[]
Quotation of the Day: Readiness of U.S. for an Epidemic Raises Fears About Shortages,2020-03-01,article,Quote,,[]
"Amber Bloom, Dov Lebowitz-Nowak",2020-03-01,article,News,,['Weddings and Engagements']
"Meredith Perry, Amit Bedi",2020-03-01,article,News,,['Weddings and Engagements']
"Esther Gibofsky, Adam Rattner",2020-03-01,article,News,,['Weddings and Engagements']
Second Death From Virus Is Reported in the U.S.,2020-03-01,article,News,,['Coronavirus (2019-nCoV)']
What’s on TV Sunday: ‘Dispatches from Elsewhere’ and ‘Doctor Who’,2020-03-01,article,News,,"['Movies', 'Television']"
"On ‘S.N.L.’, John Mulaney and Jake Gyllenhaal Find Humor in the Coronavirus",2020-03-01,article,News,,['Television']
"‘I Only Drink My Coffee Black, and I Cannot Drink It With Sugar’",2020-03-01,article,News,,[]
"Making a Plague Movie, With Coronavirus on the Doorstep",2020-03-01,article,News,,"['Coronavirus (2019-nCoV)', 'Epidemics', 'Movies']"
"Israel, ‘Start-up Nation,’ Groans Under Strains of Growth and Neglect",2020-03-01,article,News,,"['Politics and Government', 'Economic Conditions and Trends', 'Roads and Traffic', 'Transit Systems', 'Education (K-12)', 'Hospitals', 'Labor and Jobs', 'Productivity', 'Population']"
