headline,date,doc_type,material_type,section,keywords
"Trump, a Free-Form Leader, Experiments and Invites Drama",2016-12-01,article,News,,['United States Politics and Government']
Guggenheim Helsinki Museum Plans Are Rejected,2016-12-01,article,News,,"['Art', 'Museums', 'Finances']"
Recount Bids in 3 States Seem the Longest of Long Shots,2016-12-01,article,News,,"['Presidential Election of 2016', 'Electoral College', 'Voting and Voters']"
Records of Bill de Blasio's Helicopter Flights,2016-12-01,multimedia,Interactive Feature,,[]
"Mayor de Blasio’s Trips by Police Helicopter Rise Sharply, Records Show",2016-12-01,article,News,,"['Helicopters', 'Mayors']"
North Carolina’s Sore Loser,2016-12-01,article,Editorial,,"['Elections, Governors', 'Voter Registration and Requirements', 'Frauds and Swindling']"
Mahmoud Abbas Proposes Palestinian Unity Government With Hamas,2016-12-01,article,News,,['Palestinians']
Nestlé Reformulates Sugar and Says It Will Use Less in Its Candy,2016-12-01,article,News,,"['Sugar', 'Food', 'Inventions and Patents', 'Diet and Nutrition']"
"Harvard Becomes an East Coast Water Polo Power, Thanks to Its West Coast Coach",2016-12-01,article,News,,"['Water Polo', 'Coaches and Managers', 'College Athletics']"
Preet Bharara Says He Will Stay On as U.S. Attorney Under Trump,2016-12-01,article,News,,"['United States Attorneys', 'United States Politics and Government']"
"Though Awash in Fakes, China Rethinks Counterfeit Hunters",2016-12-01,article,News,,"['Counterfeit Merchandise', 'Intellectual Property', 'Consumer Protection', 'Shopping and Retail']"
Blueberries for a Stranger,2016-12-01,article,Brief,,['Blueberries']
"Derek Jeter Takes a Swing, and Steps Into Tiger Woods’s Spotlight",2016-12-01,article,News,,['Golf']
Magnus Carlsen Overwhelms Challenger in Tiebreakers to Win World Chess Championship,2016-12-01,article,News,,"['Chess', 'World Chess Championship']"
Police Co-Pilot for Mayor de Blasio Fatally Shot Unarmed Driver in 2012,2016-12-01,article,News,,"['Helicopters', 'Pilots', 'Police Brutality, Misconduct and Shootings', 'Police']"
Charleston Jury Gets Case of Officer Who Killed Walter Scott,2016-12-01,article,News,,"['Police Brutality, Misconduct and Shootings', 'Blacks', 'Black People', 'Murders, Attempted Murders and Homicides']"
Doomed Jet Carrying Brazilian Team Reportedly Ran Out of Fuel,2016-12-01,article,News,,"['Aviation Accidents, Safety and Disasters', 'Pilots', 'Soccer', 'Audio Recordings, Downloads and Streaming']"
