headline,date,doc_type,material_type,section,keywords
Week in Pictures for Nov. 30,2012-12-01,article,News,,['Photography']
Which Turkey is Healthiest?,2012-12-01,article,News,,[]
Study Shows Possible Brain Damage Caused by Subconcussive Blows,2012-12-01,article,News,,"['Chronic Traumatic Encephalopathy', 'Concussions', 'Hockey, Ice']"
Iranian Channel Reports Bomb Outside Its Office in Damascus,2012-12-01,article,News,,['Middle East and North Africa Unrest (2010- )']
On Our Radar: Ice Melt Accelerates in Arctic and Antarctic,2012-12-01,article,News,,[]
Apple Rolls Out a Cleaner iTunes,2012-12-01,article,News,,[]
The Monster of Monticello,2012-12-01,article,Op-Ed,,"['Slavery', 'Blacks', 'Black People', 'Books and Literature']"
Chrysler Museum Is Shutting Down,2012-12-01,article,News,,"['Automobiles', 'Museums']"
Notes on Epistemic Closure,2012-12-01,article,News,,[]
Perot Museum of Nature and Science,2012-12-01,multimedia,Slideshow,,['Museums']
"Ford Recalling 73,000 Escapes and 15,800 Fusions",2012-12-01,article,News,,"['Automobile Safety Features and Defects', 'Recalls and Bans of Products']"
"Bursting With Science, Some of It Unsettling",2012-12-01,article,Review,,"['Museums', 'Science and Technology']"
House Votes to Ease Visa Limits for Some Foreign Workers,2012-12-01,article,News,,"['Foreign Workers', 'Hispanic-Americans', 'United States Politics and Government', 'Immigration and Emigration', 'Visas']"
Friday Night Music: Decemberists,2012-12-01,article,News,,[]
A Calling Card in Shards of Glass,2012-12-01,article,News,,"['Robberies and Thefts', 'Restaurants']"
When Counterculture of 1971 Got Its Hands on Video,2012-12-01,article,Review,,"['Nineteen Hundred Seventies', 'Art', 'Video Recordings and Downloads']"
"Moves of a New Breed, in a Habitat of Its Own",2012-12-01,article,Review,,['Dancing']
Bill Cunningham | Piecework,2012-12-01,multimedia,Video,,['Fashion and Apparel']
Kaplan Blue Ribbon Pairs,2012-12-01,article,News,,"['Bridge (Card Game)', 'Cards and Card Games']"
Lopez’s Right Foot Is Not Hurt Badly. Really.,2012-12-01,article,News,,"['Basketball', 'Bones', 'Feet', 'Sprains and Strains']"
College Football Matchups,2012-12-01,article,News,,"['Bowl Games', 'Football (College)']"
State Secret Revealed: Mitterrand as a Doting Father,2012-12-01,article,Biography,,['Books and Literature']
New View from Inside Fukushima: Chaos and Uncertainty,2012-12-01,article,News,,['Japan Earthquake and Tsunami (2011)']
On Religion: A Search for God Through Bluegrass and Klezmer,2012-12-01,article,News,,"['Jews and Judaism', 'Music', 'Religion and Belief']"
Traditional Flavors of Havana Made New,2012-12-01,article,Review,,['Restaurants']
Beckham Wrapping Up American Mission With M.L.S.,2012-12-01,article,News,,['Soccer']
Strike Shuts Down Los Angeles and Long Beach Ports,2012-12-01,article,News,,"['Strikes', 'Ships and Shipping', 'Organized Labor', 'Ports']"
"Statue of Liberty Was Unscathed by Hurricane, but Its Home Took a Beating",2012-12-01,article,News,,"['Hurricane Sandy (2012)', 'Statue of Liberty']"
Clip: ‘Only the Young’,2012-12-01,multimedia,Video,,[]
"Solar Industry Borrows a Page, and a Party, From Tupperware",2012-12-01,article,News,,"['Solar Energy', 'ADVERTISING AND MARKETING']"
Battle Between Argentine Media Empire and President Heats Up Over a Law,2012-12-01,article,News,,"['Newspapers', 'Television', 'News and News Media']"
"Simpler Taxes Now, Growth Later",2012-12-01,article,News Analysis,,"['Tax Credits, Deductions and Exemptions', 'United States Politics and Government', 'Federal Budget (US)', 'Federal Taxes (US)', 'United States Economy', 'Law and Legislation']"
"After Lowest Point, Murray Nears Peak",2012-12-01,article,News,,"['Football (College)', 'Football', 'College Athletics']"
Aid Changes Raise Issue of Diversity at Colleges,2012-12-01,article,News,,"['Financial Aid (Education)', 'ADMISSIONS STANDARDS', 'Colleges and Universities', 'Endowments']"
A Salute to the Southwest,2012-12-01,article,Review,,['Restaurants']
Chairman of Utility Under Fire Resigns,2012-12-01,article,News,,"['Hurricane Sandy (2012)', 'Power Outages and Blackouts', 'Suspensions, Dismissals and Resignations']"
"Wright Stays a Met, for Better or Worse",2012-12-01,article,News,,['Baseball']
"Surprising Pleasures, With Simple Titles",2012-12-01,article,Review,,['Restaurants']
The Season for Shellfish,2012-12-01,article,News,,"['Clams', 'Oysters', 'Scallops', 'Cooking and Cookbooks', 'Restaurants']"
New U.N. Status for Palestinians Could Open Door for Claims of Israeli War Crimes,2012-12-01,article,News,,"['International Relations', 'War Crimes, Genocide and Crimes Against Humanity', 'Palestinians']"
