headline,date,doc_type,material_type,section,keywords
Big Lender in India To Buy Competitor,1997-01-01,article,News,,"['Mergers, Acquisitions and Divestitures']"
Challenge to the Origin of a Florentine Chapel,1997-01-01,article,News,,"['ARCHITECTURE', 'PAZZI CHAPEL (FLORENCE, ITALY)']"
A Falling Hotel Vies With a Dropping Ball,1997-01-01,article,News,,"['HOTELS AND MOTELS', 'New Year', 'Demolition']"
PSC to Pay $99 Million To Expand Shipbuilding,1997-01-01,article,News,,"['Mergers, Acquisitions and Divestitures']"
Holloway Eases Into Starring Role,1997-01-01,article,News,,['Basketball']
COMPANY BRIEFS,1997-01-01,article,News,,[]
Cowboys' Williams And Irvin Investigated,1997-01-01,article,News,,"['Playoff Games', 'Sex Crimes', 'Football']"
"Paid Notice: Memorials  HONIGBERG, ELSIE",1997-01-01,article,Paid Death Notice,,"['HONIGBERG, ELSIE']"
"Without Rest or Richter, Rangers Left Struggling",1997-01-01,article,News,,"['Hockey, Ice']"
"In Peru, Terrorism Exists on Both Sides",1997-01-01,article,Letter,,"['Hostages', 'Freedom and Human Rights', 'Torture']"
A Governor Ends 1996 With a Touch of Wry,1997-01-01,article,Biography,,"['Biographical Information', 'Governors (US)', 'Elections']"
AMP TO TAKE 4TH-QUARTER CHARGES OF $195 MILLION,1997-01-01,article,News,,[]
Singapore's Economy Expanded 6.5% in '96,1997-01-01,article,News,,['Economic Conditions and Trends']
Ethics Panel Puts Off Action on Gingrich,1997-01-01,article,Summary,,[]
"Paid Notice: Deaths  KILLIE, VIRGINIA BARNET",1997-01-01,article,Paid Death Notice,,"['KILLIE, VIRGINIA BARNET']"
Three Bowl Players Will Enter the Draft,1997-01-01,article,News,,"['Draft and Recruitment (Sports)', 'Football']"
The Cowboys Should Ban Irvin Now,1997-01-01,article,News,,['Football']
"In a Shift, Grants Are Given to College Presidents",1997-01-01,article,News,,['Colleges and Universities']
Ordinance on Legal Bills,1997-01-01,article,News,,"['Ethics', 'Crime and Criminals', 'Government Employees']"
VALERO SEES POSSIBLE MERGER ACCORD BY FEBRUARY,1997-01-01,article,News,,"['Mergers, Acquisitions and Divestitures']"
"Paid Notice: Deaths  OTTEN-GOLDMAN, HANNAH EMILY",1997-01-01,article,Paid Death Notice,,"['OTTEN-GOLDMAN, HANNAH EMILY']"
"Schwartz, Senior Giuliani Aide, Is Planning to Resign From Post",1997-01-01,article,News,,[]
Wine Talk,1997-01-01,article,News,,"['Wines', 'ALCOHOLIC BEVERAGES', 'NINETEEN HUNDRED NINETY-SEVEN']"
U.S. Chain Buying Global Hotel Group,1997-01-01,article,News,,"['Mergers, Acquisitions and Divestitures', 'HOTELS AND MOTELS']"
"For 49ers, Pressure Will Be On the Line",1997-01-01,article,News,,"['Playoff Games', 'Football']"
Israel Corp. to Raise Chemical Concern Stake,1997-01-01,article,News,,"['Mergers, Acquisitions and Divestitures']"
Serb Protests Take On a Holiday Mood,1997-01-01,article,News,,"['New Year', 'Demonstrations and Riots']"
No Headline,1997-01-01,article,News,,['QUOTATION OF THE DAY']
BANPONCE TO ACQUIRE ANOTHER PUERTO RICAN BANK,1997-01-01,article,News,,"['Mergers, Acquisitions and Divestitures', 'Banks and Banking']"
"Paid Notice: Memorials  KOPPELMAN, MORRIS",1997-01-01,article,Paid Death Notice,,"['KOPPELMAN, MORRIS']"
"Brodeur, Dunham Fall Flat",1997-01-01,article,News,,"['Hockey, Ice']"
Golota to Stand Trial,1997-01-01,article,News,,"['Boxing', 'Assaults']"
"Paid Notice: Deaths  HART, ALFRED, P.",1997-01-01,article,Paid Death Notice,,"['HART, ALFRED P.']"
AMERICAN EAGLE OUTFITTERS STOCK FALLS ON OUTLOOK,1997-01-01,article,News,,[]
New Year's Day,1997-01-01,article,Schedule,,[]
A Prison Left Behind Becomes a Career,1997-01-01,article,News,,"['Hunger Strikes', 'MOTION PICTURES']"
Street Game Gets a Patent: Indoor Skelly,1997-01-01,article,News,,"['SKELLY (STREET GAME)', 'Inventions and Patents', 'Games']"
"Paid Notice: Deaths  ELLISON, EDWARD S.",1997-01-01,article,Paid Death Notice,,"['ELLISON, EDWARD S.']"
The Virtual New Year,1997-01-01,article,Op-Ed,,[]
Corrections,1997-01-01,article,Correction,,[]
"Paid Notice: Memorials  CASOWITZ, HAROLD",1997-01-01,article,Paid Death Notice,,"['CASOWITZ, HAROLD']"
"Paid Notice: Deaths  ROSENBERG, EVELYN F",1997-01-01,article,Paid Death Notice,,"['ROSENBERG, EVELYN F']"
"Paid Notice: Deaths  THAYER, GORDON C.",1997-01-01,article,Paid Death Notice,,"['THAYER, GORDON C.']"
"Hebron Deal Is All but Done, Officials Say",1997-01-01,article,News,,[]
January Thoughts From Local Coaches,1997-01-01,article,News,,"['Coaches and Managers', 'Basketball']"
RESULTS PLUS,1997-01-01,article,News,,[]
Number of Slain Police Officers Is Lowest Since 1960,1997-01-01,article,News,,"['Attacks on Police', 'Murders and Attempted Murders', 'Police']"
"Paid Notice: Memorials  BARISON, DAVID ANDREW",1997-01-01,article,Paid Death Notice,,"['BARISON, DAVID ANDREW']"
HOSPITALS START OPEN COMPETITION UNDER A NEW LAW,1997-01-01,article,News,,"['HEALTH MAINTENANCE ORGANIZATIONS', 'HEALTH INSURANCE', 'Medicine and Health', 'Law and Legislation', 'Hospitals', 'Regulation and Deregulation of Industry']"
Brief Scuffle By Diplomats Goes Global,1997-01-01,article,News,,"['Roads and Traffic', 'Assaults', 'Diplomatic Immunity', 'Drunken and Reckless Driving']"
"The New Year, Observed",1997-01-01,article,Caption; Op-Ed,,['New Year']
Peru Guerrillas And Hostages Face the Press,1997-01-01,article,News,,"['Hostages', 'Foreign Service']"
Sales Incentives Bolster Fiat Shares,1997-01-01,article,News,,['Automobiles']
Florio Adviser Settles Case,1997-01-01,article,News,,"['Securities and Commodities Violations', 'Bribery', 'Stocks and Bonds', 'Government Bonds']"
"Lew Ayres, Actor, Dies at 88; Conscience Bound His Career",1997-01-01,article,Obituary; Biography,,"['Biographical Information', 'DEATHS']"
"Paid Notice: Deaths  KARLIN, SOPHIE",1997-01-01,article,Paid Death Notice,,"['KARLIN, SOPHIE']"
"Paid Notice: Deaths  WOLINS, SARAH EMILY",1997-01-01,article,Paid Death Notice,,"['WOLINS, SARAH EMILY']"
"Paid Notice: Deaths  GIANOPULOS, NICHOLAS J.",1997-01-01,article,Paid Death Notice,,"['GIANOPULOS, NICHOLAS J.']"
Use Satellite TV for U.S. Broadcasts to China,1997-01-01,article,Letter,,['Satellites']
"Paid Notice: Deaths  WISEMAN, Ebb",1997-01-01,article,Paid Death Notice,,"['WISEMAN, EBB']"
He Fishes. She Paints. The Twain Meet.,1997-01-01,article,News,,"['Art', 'Fishing, Sport', 'Fish and Other Marine Life']"
What's an Overnight Sensation Doing in a Place Like This?,1997-01-01,article,Biography,,"['MOTION PICTURES', 'Biographical Information']"
"Paid Notice: Deaths  ZALE, EDNA LIPSHY",1997-01-01,article,Paid Death Notice,,"['ZALE, EDNA LIPSHY']"
"Paid Notice: Deaths  GRUDER, JACQUELYN SHERESKY",1997-01-01,article,Paid Death Notice,,"['GRUDER, JACQUELYN SHERESKY']"
From the Pan to the Fire: A Chef Steps Before the Cameras,1997-01-01,article,Biography,,"['Cooking and Cookbooks', 'Television', 'Television', 'Recipes', 'Food']"
A Sugar Bowl Lacking a Certain Sweetness,1997-01-01,article,News,,"['Sugar Bowl', 'Football']"
INSIDE,1997-01-01,article,Summary,,[]
Metropolitan Diary,1997-01-01,article,News,,[]
Messy Weather Ices Roads And Causes Many Accidents,1997-01-01,article,News,,"['Accidents and Safety', 'Weather', 'Roads and Traffic', 'Ice']"
"Paid Notice: Deaths  SALEH, SABIHA",1997-01-01,article,Paid Death Notice,,"['SALEH, SABIHA']"
Boutros-Ghali's Query to Albright: 'What Went Wrong?',1997-01-01,article,News,,[]
Islamic Militancy vs. Money-Making in Iran,1997-01-01,article,News,,"['Women', 'Islam', 'Travel and Vacations']"
Rehnquist Criticizes Congress On Raises,1997-01-01,article,News,,"['Judges', 'Federal District Courts', 'Courts', 'Wages and Salaries']"
Samsung Loses Chance To Take Over Fokker,1997-01-01,article,News,,"['Mergers, Acquisitions and Divestitures', 'Bankruptcies']"
New York City Takes a Bow As Homicide Rate Plunges,1997-01-01,article,News,,['Murders and Attempted Murders']
Nixon's Slush Fund,1997-01-01,article,Letter,,['Ethics']
"Paid Notice: Memorials  DEIN, GITTIE",1997-01-01,article,Paid Death Notice,,"['DEIN, GITTIE']"
"The Debutante Returns, With Pearls and Plans",1997-01-01,article,News,,['Debutantes']
Bond Prices Post Steep Losses on Strong Economic News,1997-01-01,article,News,,"['Stocks and Bonds', 'Government Bonds']"
"Paid Notice: Deaths  FRIEDMAN, WILLIAM",1997-01-01,article,Paid Death Notice,,"['FRIEDMAN, WILLIAM']"
Opposites Who Attract Trouble,1997-01-01,article,News,,"['Sex Crimes', 'Football']"
"Paid Notice: Deaths  ROTHMAN, ALVIN",1997-01-01,article,Paid Death Notice,,"['ROTHMAN, ALVIN']"
"A Childhood Stolen, a Man Created",1997-01-01,article,Biography,,['Football']
Longer Tenure for Top Fed Bank Executives,1997-01-01,article,News,,['Retirement']
Talking and Reading In Place of Listening,1997-01-01,article,Review,,['Theater']
"Gabriel Lewis Galindo, 68, Veteran Panamanian Diplomat",1997-01-01,article,Obituary; Biography,,"['Biographical Information', 'DEATHS']"
"The Cadets Storm Back, But Stumble",1997-01-01,article,News,,"['INDEPENDENCE BOWL', 'Football']"
Internet Security System to Be Tested,1997-01-01,article,News,,"['CREDIT CARDS AND ACCOUNTS', 'INTERNET AND WORLD WIDE WEB', 'Security and Warning Systems']"
"Paid Notice: Deaths  MORSS, DOROTHY KINNE",1997-01-01,article,Paid Death Notice,,"['MORSS, DOROTHY KINNE']"
"Four Seasons of Sex, Blacks, Jews and Clinton",1997-01-01,article,Review,,['Television']
Swiss Economists Lower Their Forecasts,1997-01-01,article,News,,['Forecasts']
Corrections,1997-01-01,article,Correction,,[]
Stars Release Makarov,1997-01-01,article,News,,"['Hockey, Ice']"
