headline,date,doc_type,material_type,section,keywords
The Disability Trap,2018-07-24,article,Op-Ed,,"['Disabilities', 'Health Insurance and Managed Care', 'Medicaid', 'Nursing Homes', 'Multiple Sclerosis']"
More Than 450 Migrant Parents May Have Been Deported Without Their Children,2018-07-24,article,News,,"['Deportation', 'Family Separation Policy (US Immigration)', 'Immigration Detention', 'Illegal Immigration', 'Immigration and Emigration', 'Children and Childhood', 'United States Politics and Government']"
Thousands Displaced by Laos Dam Collapse,2018-07-24,multimedia,Video,,"['Levees and Dams', 'Floods', 'Hydroelectric Power']"
Save The Daily News,2018-07-24,article,Letter,,['Newspapers']
To Ease Pain of Trump’s Trade War: $12 Billion in Aid for Farmers,2018-07-24,article,News,,"['Agriculture and Farming', 'Federal Aid (US)', 'Customs (Tariff)', 'Protectionism (Trade)', 'International Trade and World Market', 'United States Politics and Government']"
Police May Seek Hate-Crime Charge in Attack on Latino Mayor,2018-07-24,article,News,,"['Hate Crimes', 'Assaults', 'Hispanic-Americans', 'Immigration and Emigration']"
A Vote Expanded Medicaid in Maine. The Governor Is Ignoring It.,2018-07-24,article,News,,"['Medicaid', 'Patient Protection and Affordable Care Act (2010)', 'Politics and Government', 'Health Insurance and Managed Care', 'Voting and Voters', 'Vetoes (US)']"
Sessions Laughs as Crowd Chants ‘Lock Her Up’,2018-07-24,multimedia,Video,,"['Attorneys General', 'United States Politics and Government']"
Jeff Sessions Laughs and Echoes ‘Lock Her Up’ Chant With Conservative High Schoolers,2018-07-24,article,News,,"['United States Politics and Government', 'Presidential Election of 2016', 'Special Prosecutors (Independent Counsel)']"
"Championing Black Artists, at Home and in the Spotlight",2018-07-24,article,News,,"['Art', 'Collectors and Collections', 'Blacks', 'Black People']"
Google and American Oligopolies,2018-07-24,article,Letter,,['Antitrust Laws and Competition Issues']
Ivanka Trump Is Shutting Down Her Fashion Brand,2018-07-24,article,News,,"['Fashion and Apparel', 'Shutdowns (Institutional)', 'United States Politics and Government', 'Conflicts of Interest']"
Donald Trump and the Decline of Species,2018-07-24,article,Letter,,"['Endangered and Extinct Species', 'Biodiversity', 'United States Politics and Government']"
Public Theater Is to Stage ‘The Gospel at Colonus’ in September,2018-07-24,article,News,,['Theater']
"Facebook Gains Status in China, at Least for a Moment",2018-07-24,article,News,,"['Social Media', 'Censorship', 'Regulation and Deregulation of Industry']"
Back to Nicaragua for a Pioneering Photographer of Rebellion,2018-07-24,article,News,,"['Photography', 'Art', 'Museums', 'Demonstrations, Protests and Riots']"
