headline,date,doc_type,material_type,section,keywords
East Timor’s Declaration of Independence?,1999-09-01,article,News,,[]
"Waldo Cohn, 89, a Developer Of Plutonium for the Atom Bomb",1999-09-01,article,Obituary; Biography,,"['ATOMIC WEAPONS', 'Biographical Information', 'Deaths (Obituaries)']"
JAPAN'S JOBLESSNESS STILL AT HIGH,1999-09-01,article,News,,"['Records and Achievements', 'LABOR', 'Women', 'Unemployment']"
Shares End Mixed After Strong Manufacturing Report Adds to Fear of Fed Rate Action,1999-09-01,article,News,,"[""Standard & Poor's 500-Stock Index"", 'Nasdaq Composite Index', 'Stocks and Bonds', 'Dow Jones Stock Average']"
L.I. Man Is Accused Of Beating Girl to Death,1999-09-01,article,News,,"['Murders and Attempted Murders', 'Child Abuse and Neglect']"
"Paid Notice: Deaths  KATCHEN, HARRY, RABBI",1999-09-01,article,Paid Death Notice,,[]
"Paid Notice: Deaths  PACHARZ, HENRY R.",1999-09-01,article,Paid Death Notice,,[]
Not Seen in Vampires' Gardens: Home-Grown Exotics,1999-09-01,article,News,,"['Garlic', 'Gardens and Gardening']"
"Paid Notice: Deaths  GOLDMAN, ROSE",1999-09-01,article,Paid Death Notice,,[]
"Early, Apple Shows Off New Mac G4",1999-09-01,article,News,,"['Prices (Fares, Fees and Rates)', 'Computers and the Internet']"
. . . And the Customers Never Talk Back,1999-09-01,article,Review,,"['Reviews', 'Television']"
'Tis Nobler to Synopsize,1999-09-01,article,News,,"['MOTION PICTURES', 'Television', 'Biographical Information']"
"Paid Notice: Deaths  BESS, BARBARA E., M.D.",1999-09-01,article,Paid Death Notice,,[]
DROP IN UNEMPLOYMENT,1999-09-01,article,News,,"['LABOR', 'Unemployment', 'Production']"
Accounts,1999-09-01,article,News,,"['ADVERTISING', 'ACCOUNT CHANGES']"
Even the Doggy Bags Really Care,1999-09-01,article,Review,,"['Reviews', 'Restaurants']"
A Letter and a Response,1999-09-01,article,Text,,"['Suspensions, Dismissals and Resignations', 'Finances', 'Elections']"
"Paid Notice: Deaths  SCHLESINGER, RUTH",1999-09-01,article,Paid Death Notice,,[]
