headline,date,doc_type,material_type,section,keywords
Tom Brokaw: You Can Find the Entire World Inside Your Hospital,2018-01-01,article,Op-Ed,,"['Health Insurance and Managed Care', 'Immigration and Emigration', 'Hospitals', 'Patient Protection and Affordable Care Act (2010)']"
New York Family of 5 Among 10 Americans Killed in Costa Rica Plane Crash,2018-01-01,article,News,,"['Aviation Accidents, Safety and Disasters']"
The Wall of Love Outside a Jail,2018-01-01,article,News,,"['Prisons and Prisoners', 'Families and Family Life', 'Posters', 'vis-photo']"
The Sentient-Being Diet,2018-01-01,article,Op-Ed,,"['Books and Literature', 'New Year']"
Changing the Script,2018-01-01,article,Letter,,"['Movies', 'Women and Girls', ""Women's Rights""]"
Don’t Belittle Egypt,2018-01-01,article,Letter,,['United States International Relations']
Apportioning Blame for the Amtrak Tragedy,2018-01-01,article,Letter,,"['Railroads', 'Transportation', 'Accidents and Safety', 'Infrastructure (Public Works)']"
Taxing College Endowments,2018-01-01,article,Letter,,"['Colleges and Universities', 'Financial Aid (Education)', 'Federal Taxes (US)']"
When the Parent-Child Bond Is Cut,2018-01-01,article,Letter,,"['Parenting', 'Children and Childhood']"
Overwhelmed by Donations for Survivors of Fatal Bronx Fire,2018-01-01,article,News,,['Fires and Firefighters']
The Failed War on Drugs,2018-01-01,article,Op-Ed,,"['Drug Abuse and Traffic', 'Addiction (Psychology)']"
A Big Year for the Stock Market,2018-01-01,multimedia,Interactive Feature,,"['Stocks and Bonds', ""Standard & Poor's 500-Stock Index""]"
Capital Punishment Deserves a Quick Death,2018-01-01,article,Editorial,,"['Capital Punishment', 'Eighth Amendment (US Constitution)', 'Sentences (Criminal)']"
"No Corrections: January 1, 2018",2018-01-01,article,Correction,,[]
Celulares señuelo y vehículos blindados: cómo los venezolanos lidian con la inseguridad,2018-01-01,multimedia,Interactive Feature,,"['Crime and Criminals', 'Robberies and Thefts', 'Security and Warning Systems']"
"Start of a New Year of Trading, and Jobs Report From December",2018-01-01,article,News,,"['United States Economy', 'Labor and Jobs', 'Marijuana', 'Unemployment']"
7 Wishes for 2018,2018-01-01,article,Op-Ed,,"['Global Warming', 'United States Politics and Government', 'Midterm Elections (2018)', 'Voting and Voters']"
"Arseny Roginsky, a Champion of Historical Truth",2018-01-01,article,Editorial,,"['Human Rights and Human Rights Violations', 'Political Prisoners']"
"N.F.L. Wild-Card Picks: Rams Over Falcons, Chiefs Over Titans",2018-01-01,article,News,,"['Playoff Games', 'Football']"
