headline,date,doc_type,material_type,section,keywords
"Bent, Not Broken",2010-05-01,article,News,,"['Teachers and School Employees', 'Muscular Dystrophy', 'Handicapped', 'Medicine and Health', 'Spinal Muscular Atrophy']"
Changing How Qatar Sees the Blind,2010-05-01,article,Biography,,"['Education and Schools', 'Blindness']"
Strategy for the Produce Aisle,2010-05-01,article,News,,[]
"Returning to College, Without the Beer",2010-05-01,article,News,,"['Education and Schools', 'Colleges and Universities']"
Solution to Capping Well Stays Elusive,2010-05-01,article,News,,"['Offshore Drilling and Exploration', 'Accidents and Safety', 'Oil (Petroleum) and Gasoline']"
NATO Investigates 3 Afghan Civilian Deaths,2010-05-01,article,News,,"['Civilian Casualties', 'Afghanistan War (2001- )']"
On Names and Religion,2010-05-01,article,News,,"['Newspapers', 'Immigration and Emigration', 'Chinese-Americans']"
"Patricia Wood, Edward Ney",2010-05-01,article,News,,['Weddings and Engagements']
"Christine Chen, Daniel Rogart",2010-05-01,article,News,,['Weddings and Engagements']
"Naomi Seiler, Eric Columbus",2010-05-01,article,News,,['Weddings and Engagements']
"Catherine Hunt, Jason Ryan",2010-05-01,article,News,,['Weddings and Engagements']
"Courtney Lewis, Steven Schlow",2010-05-01,article,News,,['Weddings and Engagements']
Insurer Allowed to Sue Countrywide,2010-05-01,article,Brief,,"['Insurance', 'Decisions and Verdicts']"
Beyond Peanuts and Cracker Jacks,2010-05-01,article,News,,['Restaurants']
"Pembry Keller, Pedro Sáez",2010-05-01,article,News,,['Weddings and Engagements']
"Rachel Rosenstein, Joshua Weiner",2010-05-01,article,News,,['Weddings and Engagements']
Ex-Worker Says Her Firing Was Based on Genetic Test,2010-05-01,article,News,,"['Hiring and Promotion', 'Labor and Jobs', 'Genetics and Heredity']"
"Megan Miller, Frank Coleman",2010-05-01,article,News,,['Weddings and Engagements']
New Publisher Named for the Philadelphia Inquirer,2010-05-01,article,Brief,,['Bankruptcies']
"Erica Brauer, Jason Navarino",2010-05-01,article,News,,['Weddings and Engagements']
"Elizabeth Bellis, Joshua Wolfe",2010-05-01,article,News,,['Weddings and Engagements']
"Comfort Food, With a View",2010-05-01,article,News,,"['Restaurants', 'Cooking and Cookbooks']"
A New Take on Surf and Turf,2010-05-01,article,Review,,"['Cooking and Cookbooks', 'Restaurants']"
France: Ex-Minister Convicted,2010-05-01,article,Brief,,"['Frauds and Swindling', 'Decisions and Verdicts', 'Embezzlement']"
Aubry Nivens and Colin Parks-Fried,2010-05-01,article,News,,['Weddings and Engagements']
Leaked Memo Sees Bigger Oil Risk,2010-05-01,article,,,[]
China: World Expo Opens,2010-05-01,article,Brief,,['Trade Shows and Fairs']
Obsessive About Pizza,2010-05-01,article,News,,"['Cooking and Cookbooks', 'Restaurants', 'Pizza Pies']"
"Slurp, Bite, Slurp: Shanghai Favorites",2010-05-01,article,Review,,"['Cooking and Cookbooks', 'Restaurants']"
R. Douglas Arnold and Alexander Quinn,2010-05-01,article,News,,['Weddings and Engagements']
Francesca DeLaurentis and Peter Calloway,2010-05-01,article,News,,['Weddings and Engagements']
"Designer Has Fan at Top, but Too Few at the Stores",2010-05-01,article,News,,['Fashion and Apparel']
"Artful Treats, From Scratch",2010-05-01,article,News,,"['Restaurants', 'Bakeries and Baked Products', 'Cooking and Cookbooks']"
"Local Food, French Flair and an Intimate Setting",2010-05-01,article,Review,,"['Restaurants', 'Cooking and Cookbooks']"
Lessons From Catholic Schools for Public Educators,2010-05-01,article,News,,['Education and Schools']
U.N. Official Fears Congo Is Overcome by Violence,2010-05-01,article,News,,"['International Relations', 'Civil War and Guerrilla Warfare', 'Sex Crimes']"
A Pinch of His and Hers,2010-05-01,article,Review,,"['Riesling (Wine)', 'Wines']"
Vibrant Flavors of South America,2010-05-01,article,Review,,"['Cooking and Cookbooks', 'Restaurants']"
Mayweather’s Hands Stay Wrapped in Trust,2010-05-01,article,News,,['Boxing']
Antagonists Who Inspired Modern Lovers,2010-05-01,article,Review,,['Theater']
On the Street | Goodbye,2010-05-01,multimedia,Video,,"['Renting and Leasing', 'Culture', 'Housing and Real Estate']"
"Mayhem in Hamptons, but Only on the Page",2010-05-01,article,News,,['Books and Literature']
"On Favorite’s Back, More Than Just Rider",2010-05-01,article,News,,"['Kentucky Derby', 'Horse Racing']"
Hofstra Coach Is Suspended for D.U.I. Arrest,2010-05-01,article,News,,"['Basketball', 'College Athletics', 'Suspensions, Dismissals and Resignations', 'Coaches and Managers']"
Rare Breed Now: A Justice Who Wasn’t a Judge,2010-05-01,article,News,,['Appointments and Executive Changes']
"First Round Reaffirms It: If You’re in, You Have a Chance",2010-05-01,article,News Analysis,,"['Playoff Games', 'Hockey, Ice', 'Stanley Cup']"
Hard at Work Charming Children,2010-05-01,article,News,,['Theater']
"Dreams, Let Up on Us!",2010-05-01,article,,,[]
"Visions of the Eerie, the Wacky and the Whimsical",2010-05-01,article,News,,"['Art', 'Museums']"
"Lori Holmes, Benjamin Clark",2010-05-01,article,News,,['Weddings and Engagements']
"Melissa Renzi, Robert Gustafson",2010-05-01,article,News,,['Weddings and Engagements']
Favre Comes in From Yard to Say He’s Still Thinking,2010-05-01,article,News,,['Football']
The Court as Mr. Fix-It?,2010-05-01,article,,,[]
Job Cuts at ABC Leave Workers Stunned and Downcast,2010-05-01,article,News,,"['Layoffs and Job Reductions', 'News and News Media', 'Television']"
"Love Means ... Well, It’s Hard to Say",2010-05-01,article,Review,,['Theater']
Betrayal and Suspense in Remote West Africa,2010-05-01,article,Review,,['Theater']
Foot Soldiers of the Automotive-Repair Trade,2010-05-01,article,News,,"['Glass', 'Automobiles']"
Gabrielle Finley and Josh Abramson,2010-05-01,article,News,,['Weddings and Engagements']
Alicia Hall and Jason Moran,2010-05-01,article,News,,['Weddings and Engagements']
Unanswered Questions on the Spill,2010-05-01,article,Editorial,,"['Accidents and Safety', 'Offshore Drilling and Exploration', 'Oil (Petroleum) and Gasoline']"
Painter Traces His Start to World War II Service,2010-05-01,article,News,,['Theater']
The Big Fix,2010-05-01,article,Editorial,,['Redistricting and Reapportionment']
U.S. Sets Start of Mideast Peace Talks,2010-05-01,article,News,,"['International Relations', 'United States International Relations', 'Palestinians']"
Events in Connecticut,2010-05-01,article,Schedule,,"['Art', 'Music', 'Culture']"
At Least 50 of City’s Senior Centers Expected to Close to Save Money,2010-05-01,article,News,,"['Shutdowns (Institutional)', 'Elderly']"
Cleaning Up Medical Advice,2010-05-01,article,Editorial,,"['Doctors', 'Conflicts of Interest']"
Events on Long Island,2010-05-01,article,Schedule,,"['Culture', 'Theater', 'Music']"
Courage of the Sisters,2010-05-01,article,Editorial,,"['Nuns', 'Reform and Reorganization', 'Medicine and Health', 'Health Insurance and Managed Care', 'ABORTION']"
Off-Field Turmoil Causes Soul Searching at Oregon,2010-05-01,article,News,,"['Interscholastic Athletics', 'College Athletics', 'Coaches and Managers']"
Democrats Reframe the Debate on Immigration,2010-05-01,article,News Analysis,,"['Illegal Immigrants', 'Law and Legislation']"
"Woods Misses Fairways, Greens and the Cut",2010-05-01,article,News,,['Golf']
Teachers Always Show Up,2010-05-01,article,Op-Ed,,"['Teachers and School Employees', 'Elections']"
Events in New Jersey,2010-05-01,article,Schedule,,"['Art', 'Culture', 'Theater', 'Music']"
Events in Westchester,2010-05-01,article,Schedule,,"['Art', 'Music', 'Classical Music', 'Culture']"
Ballplayers Join Protest of New Law,2010-05-01,article,News,,"['Immigration and Emigration', 'Illegal Immigrants', 'Law and Legislation', 'Baseball']"
"Atop the Ocean, a Sea of Untapped Energy",2010-05-01,article,News,,"['Windmills', 'Wind Power']"
Rookie Lands in the Water but Above the Cut Line,2010-05-01,article,News,,['Golf']
Los Angeles Archbishop to Lead a Rally Against the Arizona Measure,2010-05-01,article,News,,"['Cardinals (Roman Catholic Prelates)', 'Demonstrations and Riots', 'Immigration and Emigration', 'Law and Legislation']"
Abortion’s New Battle Lines,2010-05-01,article,Op-Ed,,"['Roe v Wade (Supreme Court Decision)', 'Gallup Poll', 'Polls and Public Opinion', 'ABORTION']"
"Citing Wall Street Reform, Dodd Backs Out of Fund-Raiser for Gillibrand",2010-05-01,article,News,,"['Regulation and Deregulation of Industry', 'United States Politics and Government', 'Politics and Government']"
Bloggingheads: Immigration Uncertainty,2010-05-01,multimedia,Video,,[]
James and His Right Arm Are Valuable,2010-05-01,article,,,[]
Illinois: No Subpoena for Obama,2010-05-01,article,Brief,,[]
