headline,date,doc_type,material_type,section,keywords
When Parents Are Deported,2012-05-01,article,Letter,,"['Immigration and Emigration', 'Immigration Detention', 'Parenting', 'Deportation']"
Veterans Need Jobs,2012-05-01,article,Letter,,"['Labor and Jobs', 'Veterans', 'Unemployment', 'Mental Health and Disorders', 'Post-Traumatic Stress Disorder']"
"Back Home, Lessons From the War",2012-05-01,multimedia,Slideshow,,"['Gangs', 'Iraq War (2003-11)']"
Anatomy of Brain Disease,2012-05-01,article,Letter,,"['Post-Traumatic Stress Disorder', 'Veterans', 'Mental Health and Disorders', 'Brain']"
Buying Drugs Abroad,2012-05-01,article,Letter,,"['Drugs (Pharmaceuticals)', 'Health Insurance and Managed Care', 'Medicare', 'International Trade and World Market', 'Reform and Reorganization']"
St. John’s Basketball Player Is About to Join the Reds as a Pitcher,2012-05-01,article,News,,"['Basketball (College)', 'Basketball', 'Baseball']"
Israeli Defense Minister Keeps All Options Open on Iran,2012-05-01,article,News,,"['International Relations', 'Defense and Military Forces', 'Polls and Public Opinion', 'Embargoes and Economic Sanctions', 'Nuclear Weapons']"
Finish Off Al Qaeda. Stop Trying to Fix Afghanistan.,2012-05-01,article,Op-Ed,,"['Afghanistan War (2001- )', 'Terrorism', 'United States International Relations', 'United States Defense and Military Forces']"
California Chosen as Home for Computing Institute,2012-05-01,article,News,,"['Computers and the Internet', 'Colleges and Universities', 'Research', 'Science and Technology']"
Reminders That a Cookie Goes Beyond the Fig,2012-05-01,article,News,,"['Bakeries and Baked Products', 'Cookies', 'ADVERTISING AND MARKETING']"
Torres Returns to Mets’ Lineup,2012-05-01,article,News,,[]
Flying a Circuitous Route May Land the Best Airfare,2012-05-01,article,News,,"['Prices (Fares, Fees and Rates)', 'Budget Travel', 'AIRLINES AND AIRPLANES', 'Business Travel']"
Clemens’s Lawyer Presses Government Witness,2012-05-01,article,News,,"['Steroids', 'Baseball', 'Mitchell Report (Baseball)']"
California Chefs to Wield Their Spatulas in Fight Over Foie Gras Ban,2012-05-01,article,News,,"['Foie Gras', 'Geese', 'Law and Legislation', 'Cruelty to Animals', 'Chefs', 'Birds', 'Restaurants', 'Poultry']"
"The Sun, the Moon and Walmart",2012-05-01,article,Op-Ed,,"['Corruption (Institutional)', 'Bribery and Kickbacks', 'Frauds and Swindling']"
SolarCity Takes Step Toward Public Offering,2012-05-01,article,News,,"['Initial Public Offerings', 'Solar Energy']"
Rematches Are Theme of Many House Races,2012-05-01,article,News,,[]
Candidate for Senate Defends Past Hiring,2012-05-01,article,News,,"['Native Americans', 'Genealogy', 'Elections, Senate']"
Chen Guangcheng,2012-05-01,article,Editorial,,"['United States International Relations', 'Human Rights and Human Rights Violations', 'Editorials']"
"For Woodson, the Test Keeps Getting Tougher",2012-05-01,article,News,,"['Basketball', 'Playoff Games', 'Coaches and Managers']"
Role of Torture Revisited in Bin Laden Narrative,2012-05-01,article,News,,"['Espionage and Intelligence Services', 'Waterboarding', 'Torture', 'United States Politics and Government', 'Terrorism', 'United States Defense and Military Forces', 'Interrogations']"
Lottery Numbers,2012-05-01,article,List,,['Lotteries']
Providence Mayor Moves Financial Woes to Fore,2012-05-01,article,News,,"['Pensions and Retirement Plans', 'Budgets and Budgeting', 'United States Politics and Government', 'Bankruptcies', 'Government Employees']"
The Revolution Will Be Minimized,2012-05-01,article,News,,['Living Wage']
Top U.S. Security Official Says ‘Rigorous Standards’ Are Used for Drone Strikes,2012-05-01,article,News,,"['Civilian Casualties', 'Drones (Pilotless Planes)', 'Targeted Killings', 'Terrorism', 'United States Defense and Military Forces']"
"Jersey City Development, Begun in ’86, Enters Final Phase",2012-05-01,article,News,,"['Real Estate (Commercial)', 'Family Business']"
Wal-Mart’s Good-Citizen Efforts Face a Test,2012-05-01,article,News,,"['Bribery and Kickbacks', 'Shopping and Retail', 'Foreign Corrupt Practices Act (1977)', 'Lobbying and Lobbyists']"
"Fred Hakim, Times Square Hot-Dog Vendor, Dies at 83",2012-05-01,article,Obituary (Obit),,"['Hot Dogs', 'Deaths (Obituaries)']"
"New York on $15,000 a Year",2012-05-01,article,Editorial,,"['Minimum Wage', 'State Legislatures', 'Editorials']"
"Tasers Pose Risks to Heart, a Study Warns",2012-05-01,article,News,,"['Heart', 'Deaths (Fatalities)', 'Stun Guns', 'Research']"
The Pleasures and Perils of the Passive,2012-05-01,article,News,,"['Reading and Writing Skills', 'Writing and Writers']"
Of Geese and Fleece,2012-05-01,article,Editorial,,"['United States Politics and Government', 'Research', 'Awards, Decorations and Honors', 'Science and Technology', 'Editorials']"
Dewey & LeBoeuf Said to Encourage Partners to Leave,2012-05-01,article,News,,['Legal Profession']
Microsoft Deal Adds to E-Book Battle,2012-05-01,article,News,,"['Amazon Kindle', 'Barnes & Noble Nook', 'E-Books and Readers', 'Mergers, Acquisitions and Divestitures']"
Details Are Refuted in Tale of Bo Guagua’s Red Ferrari,2012-05-01,article,News,,['United States International Relations']
A Green Apple Taxi,2012-05-01,article,Editorial,,"['Taxicabs and Taxicab Drivers', 'Editorials']"
"In Wisconsin, Walker Campaign Reports More Than $13 Million Raised Since January",2012-05-01,article,News,,"['Campaign Finance', 'Elections']"
Jilted Brooklyn Finds Hope in the Hapless Nets,2012-05-01,article,News,,"['Basketball', 'Logos']"
Trying to Strike a Match Before the ’60s Were Ready to Blaze,2012-05-01,article,Review,,['Theater']
In Other Words,2012-05-01,article,News,,['Crossword Puzzles']
Mourning Family Reflects on Its Past After Accident,2012-05-01,article,News,,"['Dominican-Americans', 'Traffic Accidents and Safety']"
"Amarillo Slim, Gambler With a Sly Wit, Dies at 83",2012-05-01,article,Obituary (Obit),,"['Poker (Card Game)', 'Deaths (Obituaries)', 'Gambling']"
Binghamton Fires Men’s Basketball Coach,2012-05-01,article,News,,"['Basketball (College)', 'Coaches and Managers', 'Suspensions, Dismissals and Resignations']"
A Shared State of Defeat,2012-05-01,article,Op-Ed,,"['Presidential Election of 2008', 'ADULTERY', 'United States Politics and Government', 'Presidential Election of 2012', 'Campaign Finance']"
New York Pension Funds to Challenge Wal-Mart,2012-05-01,article,News,,"['Pensions and Retirement Plans', 'Boards of Directors', 'Shopping and Retail', 'Shareholder Rights and Activism', 'Bribery and Kickbacks']"
Pressing for Change at Wal-Mart,2012-05-01,multimedia,Interactive Feature,,['Shareholder Rights and Activism']
Kuroda and Yankees Cool Off Surging Orioles,2012-05-01,article,News,,['Baseball']
"Power, Sex and Conspiracy",2012-05-01,article,Op-Ed,,"['Sex Crimes', 'Books and Literature', 'Politics and Government']"
"Two Games In, Knicks Are Halfway Out",2012-05-01,article,News,,"['Basketball', 'Playoff Games']"
Warfare or Courtship in 2012?,2012-05-01,article,Op-Ed,,"['Political Advertising', 'Presidential Election of 2012', 'United States Politics and Government']"
Trying to Fill Broadway Seats With Those Who Fill the Pews,2012-05-01,article,News,,"['Christians and Christianity', 'ADVERTISING AND MARKETING', 'Sales', 'Theater']"
Tough Questions for Cameron on Ties to Murdoch,2012-05-01,article,News,,"['Crime and Criminals', 'Wiretapping and Other Eavesdropping Devices and Methods', 'Politics and Government', 'News and News Media']"
Motherhood vs. Feminism,2012-05-01,article,News,,[]
"Rangers Seek an Opening, but Ovechkin Gets in First",2012-05-01,article,News,,"['Hockey, Ice', 'Playoff Games']"
Bin Laden Death Anniversary Prompts Increased Security,2012-05-01,article,News,,"['Airport Security', 'United States International Relations', 'Terrorism', 'Security and Warning Systems', 'AIRLINES AND AIRPLANES', 'United States Defense and Military Forces']"
Understanding the Atmosphere,2012-05-01,multimedia,Slideshow,,"['Weather', 'Global Warming']"
One Year of Clouds Covering the Earth,2012-05-01,multimedia,Interactive Feature,,"['Weather', 'Global Warming']"
Corrections: May 1,2012-05-01,article,Correction,,[]
Data Engineer in Google Case Is Identified,2012-05-01,article,News,,"['Wireless Communications', 'Privacy', 'Maps']"
