headline,date,doc_type,material_type,section,keywords
How to watch the Golden Globes on TV and Online.,2021-03-01,article,News,,[]
What will win tonight? Here are our predictions.,2021-03-01,article,News,,[]
Daniel Kaluuya and Chadwick Boseman are both recognized for film roles.,2021-03-01,article,News,,"['Black People', 'Blacks', 'Actors and Actresses', 'Golden Globes (Awards)']"
Full Text of Cuomo’s Statement in Response to Harassment Accusations,2021-03-01,article,News,,"['Sexual Harassment', 'Speeches and Statements']"
Forget ‘Succession.’ You Can Watch ‘90 Day Fiancé’ for 100 Hours Straight.,2021-03-01,article,News,,"['Mobile Applications', 'Video Recordings, Downloads and Streaming', 'Reality Television', 'Television']"
Voter Suppression Is Grand Larceny,2021-03-01,article,Op-Ed,,"['Black People', 'Blacks', 'Voter Registration and Requirements', 'United States Politics and Government', 'Race and Ethnicity', 'Law and Legislation', 'Elections']"
"CPAC Takeaways: Trump Dominates, and DeSantis and Noem Stand Out",2021-03-01,article,News,,"['Presidential Election of 2020', 'Voter Fraud (Election Fraud)']"
Golden Globes Winners 2021: The Complete List,2021-03-01,article,News,,"['Movies', 'Actors and Actresses', 'Television', 'Golden Globes (Awards)']"
Daniel Kaluuya overcomes the first hiccup of the night.,2021-03-01,article,News,,"['Black People', 'Blacks', 'Movies', 'Golden Globes (Awards)']"
Transcript: Amy Poehler and Tina Fey skewer the H.F.P.A.’s lack of diversity.,2021-03-01,article,News,,"['Golden Globes (Awards)', 'Movies']"
"Corrections: March 1, 2021",2021-03-01,article,News,,[]
Quotation of the Day: Salvador’s Combative Boss May Tighten Grip in Vote,2021-03-01,article,Quote,,[]
Collin Morikawa Wins Workday Title on a Day of Tributes to Woods,2021-03-01,article,News,,['Golf']
"Emma Corrin, as Princess Diana, wins her first Golden Globe for ‘The Crown.’",2021-03-01,article,News,,"['Television', 'Golden Globes (Awards)']"
Your Monday Briefing,2021-03-01,article,briefing,,"['Defense and Military Forces', 'Politics and Government', 'Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)', 'United States International Relations', 'Hong Kong Protests (2019)', 'Deaths (Fatalities)', 'Great Britain Withdrawal from EU (Brexit)', 'Demonstrations, Protests and Riots']"
"‘Minari’ wins best foreign-language film, but not without controversy.",2021-03-01,article,News,,"['Golden Globes (Awards)', 'Movies']"
‘Allen v. Farrow’ Episode 2 Recap: A Family Torn Apart,2021-03-01,article,News,,"['Documentary Films and Programs', 'Television', 'Sex Crimes', 'Archives and Records']"
Chloé Zhao becomes the first Asian woman to win the Golden Globe for best director.,2021-03-01,article,News,,"['Movies', 'Golden Globes (Awards)', 'Asian-Americans', 'Women and Girls']"
Transcript: Jane Fonda calls for diversity in Golden Globe nominees and voters.,2021-03-01,article,News,,"['Movies', 'Golden Globes (Awards)']"
Chadwick Boseman wins a best actor Golden Globe and his widow accepts in an emotional speech.,2021-03-01,article,News,,"['Black People', 'Blacks', 'Actors and Actresses', 'Movies', 'Golden Globes (Awards)']"
"At This Year’s Golden Globes, You Had to (Not) Be There",2021-03-01,article,Review,,"['Television', 'Golden Globes (Awards)']"
Trump Revives Familiar Falsehoods in CPAC Speech,2021-03-01,article,News,,"['United States Politics and Government', 'Rumors and Misinformation']"
"How One Sports Season Fell Apart, Even in a Bubble",2021-03-01,article,News,,"['Hockey, Ice']"
C. Vivian Stringer Is the Thread Between the W.N.B.A.’s Emerging Stars,2021-03-01,article,News,,"['Coaches and Managers', 'Basketball (College)', 'Basketball']"
Behind the Lines of Britain’s Covid War,2021-03-01,multimedia,Interactive Feature,,"['Coronavirus Reopenings', 'Coronavirus (2019-nCoV)', 'Funerals and Memorials', 'Morgues and Mortuaries', 'Disease Rates', 'Deaths (Fatalities)', 'Hospitals']"
What’s on TV This Week: ‘Soul of a Nation’ and ‘Ghostbusters’,2021-03-01,article,News,,['Television']
Word of the Day: abate,2021-03-01,article,News,,[]
Ron Johnson Says He Still Has Many Unanswered Questions,2021-03-01,article,News,,"['Storming of the US Capitol (Jan, 2021)', 'Antifa Movement (US)', 'Elections, Senate', 'United States Politics and Government', 'Fringe Groups and Movements', 'Right-Wing Extremism and Alt-Right']"
Thousands of Farmworkers Are Prioritized for the Coronavirus Vaccine,2021-03-01,article,News,,"['Vaccination and Immunization', 'Migrant Labor (Agriculture)', 'Coronavirus (2019-nCoV)']"
How Pro-Trump Forces Pushed a Lie About Antifa at the Capitol Riot,2021-03-01,article,News,,"['Antifa Movement (US)', 'Storming of the US Capitol (Jan, 2021)', 'Demonstrations, Protests and Riots', 'Capitol Building (Washington, DC)', 'United States Politics and Government', 'News and News Media', 'Right-Wing Extremism and Alt-Right']"
Cuomo Under Fire Over Sexual Harassment Allegations,2021-03-01,article,briefing,,"['Libraries and Librarians', 'Elections, Governors', 'Sexual Harassment', 'Women and Girls']"
The Best and Worst of the Golden Globes,2021-03-01,article,News,,"['Quarantine (Life and Culture)', 'Movies', 'Actors and Actresses', 'Golden Globes (Awards)', 'Television', 'Race and Ethnicity']"
How Should Parents Support a Student Who Has Fallen Behind in School?,2021-03-01,article,News,,[]
If Government Did Its Job We Might Not Need GoFundMe,2021-03-01,article,Op-Ed,,"['Crowdfunding (Internet)', 'Stimulus (Economic)', 'Coronavirus (2019-nCoV)']"
So You Saved a Little Money This Past Year. Now What?,2021-03-01,article,News,,"['Content Type: Service', 'Banking and Financial Institutions', 'Quarantine (Life and Culture)', 'Personal Finances']"
