headline,date,doc_type,material_type,section,keywords
This Should Be Biden’s Bumper Sticker,2020-07-01,article,Op-Ed,,"['Presidential Election of 2020', 'Coronavirus (2019-nCoV)', 'United States Politics and Government']"
"Corrections: July 1, 2020",2020-07-01,article,Correction,,[]
Why Does Trump Put Russia First?,2020-07-01,article,Op-Ed,,"['United States Politics and Government', 'United States Defense and Military Forces', 'United States International Relations', 'Afghanistan War (2001- )', 'Espionage and Intelligence Services']"
Senate Approves Extending Small-Business Program,2020-07-01,article,News,,"['Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Small Business', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'United States Economy']"
Quotation of the Day: The Fight Over Abortion Rights Feels Less Urgent for a Generation,2020-07-01,article,Quote,,[]
"Tulsa Police Sergeant, One of Two Officers Shot During Traffic Stop, Dies",2020-07-01,article,News,,"['Murders, Attempted Murders and Homicides']"
Connections on Air France,2020-07-01,article,News,,['Crossword Puzzles']
Mississippi Governor Signs Law to Remove Flag With Confederate Emblem,2020-07-01,article,News,,"['Flags, Emblems and Insignia', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Civil War (US) (1861-65)', 'Law and Legislation']"
Eight Police Officers in Louisiana Face Charges of Excessive Force,2020-07-01,article,News,,"['Police Brutality, Misconduct and Shootings']"
"Harsh Penalties, Vaguely Defined Crimes: Hong Kong’s Security Law Explained",2020-07-01,article,News,,"['Law and Legislation', 'Hong Kong Protests (2019)', 'Secession and Independence Movements', 'Politics and Government', 'International Relations']"
Jared Kushner Makes Trump Campaign Change After Rally Fiasco,2020-07-01,article,News,,['Presidential Election of 2020']
"Lauren Boebert, Gun-Rights Activist, Upsets House G.O.P. Incumbent in Colorado",2020-07-01,article,News,,"['United States Politics and Government', 'Elections, House of Representatives']"
"Europe Travel, Hong Kong Law, Russia: Your Wednesday Briefing",2020-07-01,article,briefing,,[]
What’s on TV Wednesday: ‘Gloria: A Life’ and ‘My Spy’,2020-07-01,article,News,,"['Television', 'Movies']"
America and Europe Are Split on China. They Must Come Together.,2020-07-01,article,Op-Ed,,[]
Who Wants to Go to Fashion School in a Pandemic?,2020-07-01,article,News,,"['Fashion and Apparel', 'Education (K-12)', 'Colleges and Universities', 'Layoffs and Job Reductions', 'Shutdowns (Institutional)']"
