headline,date,doc_type,material_type,section,keywords
Plea Deal Reached With Agent for Al Qaeda,2009-05-01,article,News,,['Decisions and Verdicts']
"Florida to California, Prom Dresses Selling",2009-05-01,article,News,,"['Families and Family Life', 'Fashion and Apparel', 'Shopping and Retail', 'Parties (Social)', 'Education and Schools']"
Planetary Peril,2009-05-01,article,Review,,['Movies']
Training Afghans as Bullets Fly,2009-05-01,article,News,,"['United States Defense and Military Forces', 'Afghanistan War (2001- )']"
Art in Review,2009-05-01,article,Review,,['Art']
A Ghost Story With Discreet Tingles,2009-05-01,article,Review,,['Movies']
"In Military, New Debate Over Policy Toward Gays",2009-05-01,article,News,,"['United States Defense and Military Forces', 'United States Politics and Government', 'Homosexuality', 'Polls and Public Opinion']"
A Festival of One-Shots and Shoulda-Beens,2009-05-01,article,Review,,"['Blues Music', 'Music']"
Interim Obama Communications Chief,2009-05-01,article,News,,['Appointments and Executive Changes']
Animating the Everyday Sublime,2009-05-01,article,Review,,['Art']
"Unlike Mets, Phillies Excel When Trailing",2009-05-01,article,News,,['Baseball']
"Cold, Hard Science",2009-05-01,article,Review,,['Movies']
Iranians and Others Outwit Net Censors,2009-05-01,article,News,,"['Freedom of Speech and Expression', 'International Relations', 'Censorship', 'Computers and the Internet', 'Computer Security', 'Politics and Government']"
Humble Fabric Takes Center Stage,2009-05-01,article,Review,,"['Art', 'Textiles']"
Trying Again and Again to Secede,2009-05-01,article,Series,,"['Fringe Groups and Movements', 'Politics and Government']"
W.H.O. Gives Virus a Name That’s More Scientific and Less Loaded,2009-05-01,article,News,,"['Pigs', 'Viruses', 'Swine Influenza']"
Fame Deferred,2009-05-01,article,Review,,['Movies']
Goodbye to Naked Shorting,2009-05-01,article,News,,"['Short Selling', 'Stocks and Bonds']"
Woods Finds Life Is Better With a 65,2009-05-01,article,News,,['Golf']
Prevailing Optimism Amid Personal Affliction,2009-05-01,article,Review,,['Movies']
The Call Back,2009-05-01,article,News,,"['Cannes International Film Festival', 'Movies']"
Goal Is College. Hurdle Is Finding Financial Aid.,2009-05-01,article,News,,"['Tuition', 'Personal Finances', 'Student Loans', 'Scholarships and Fellowships', 'Economic Conditions and Trends', 'Colleges and Universities']"
A Sick Situation,2009-05-01,article,News,,[]
A Sick Situation,2009-05-01,article,Web Log,,[]
"Brennan's Quest: Helping His Parents by Securing $25,000 in Merit Aid",2009-05-01,article,Web Log,,[]
"Brennan’s Quest: Helping His Parents by Securing $25,000 in Merit Aid",2009-05-01,article,News,,[]
Report Says World Bank’s AIDS Efforts Are Failing,2009-05-01,article,News,,"['Acquired Immune Deficiency Syndrome', 'Third World and Developing Countries']"
Chrysler’s Chief Says He Believes He Has Saved the Automaker,2009-05-01,article,News,,"['United States Economy', 'Automobiles', 'Bankruptcies']"
An Affordable Salvation,2009-05-01,article,Op-Ed,,"['Global Warming', 'Greenhouse Gas Emissions', 'Economic Conditions and Trends', 'United States Economy', 'Politics and Government']"
Museum and Gallery Listings,2009-05-01,article,Schedule,,[]
Nam June Paik Archive Goes to the Smithsonian,2009-05-01,article,News,,['Art']
For Sale: Fragments Of the Georgian World,2009-05-01,article,News,,"['Women', 'Auctions', 'Art']"
Facade Collapses in TriBeCa Historic District,2009-05-01,article,News,,"['Restoration and Renovation', 'Accidents and Safety', 'HOTELS AND MOTELS', 'Historic Buildings and Sites', 'Fines (Penalties)']"
Beamed From Tomorrow,2009-05-01,article,Review,,['Art']
"Virus’s Tangled Genes Straddle Continents, Raising a Mystery About Its Origins",2009-05-01,article,News,,"['Pigs', 'Livestock Diseases', 'Epidemics', 'Medicine and Health', 'Viruses', 'Swine Influenza', 'Genetics and Heredity']"
Deaths of Polo Horses Highlight Practices of Disputed Pharmacies,2009-05-01,article,News,,"['Regulation and Deregulation of Industry', 'Drugs (Pharmaceuticals)', 'Veterinary Medicine', 'Horses', 'Polo']"
