headline,date,doc_type,material_type,section,keywords
Attack of the Fanatical Centrists,2019-02-01,article,Op-Ed,,"['Health Insurance and Managed Care', 'United States Politics and Government', 'Medicare', 'Presidential Election of 2020']"
"Trump Returns This Weekend to Mar-a-Lago, His Gilded Comfort Zone",2019-02-01,article,News,,"['United States Politics and Government', 'Travel and Vacations']"
N.F.L. Players Union Says Retiree Benefits Are a Priority,2019-02-01,article,News,,['Football']
"Trump Administration Eases Regulations on Gun Exports, Raising Concerns",2019-02-01,article,News,,"['United States Politics and Government', 'Arms Trade', 'Gun Control', 'Newtown, Conn, Shooting (2012)', 'Regulation and Deregulation of Industry']"
"18 Accidents, 32 Dead. But Crash Site Clues May Have Been Lost in Shutdown.",2019-02-01,article,News,,"['Shutdowns (Institutional)', 'Aviation Accidents, Safety and Disasters']"
"For Black History Month, Remarkable Women and Men We Overlooked Since 1851",2019-02-01,multimedia,Interactive Feature,,"['Blacks', 'Black People', 'Race and Ethnicity']"
"Major Taylor, World Champion Bicyclist",2019-02-01,multimedia,Interactive Feature,,"['Blacks', 'Black People', 'Race and Ethnicity', 'Cycling, Track', 'Discrimination', 'Biographical Information']"
Moses Fleetwood Walker,2019-02-01,multimedia,Interactive Feature,,"['Biographical Information', 'Baseball', 'Blacks', 'Black People', 'Race and Ethnicity', 'Discrimination']"
"Philip Payton, the Real Estate Mogul Who Made Harlem a Black Mecca",2019-02-01,multimedia,Interactive Feature,,"['Real Estate and Housing (Residential)', 'Blacks', 'Black People', 'Discrimination', 'Race and Ethnicity', 'Biographical Information']"
"Elizabeth Jennings, Who Desegregated New York’s Trolleys",2019-02-01,multimedia,Interactive Feature,,"['Blacks', 'Black People', 'Race and Ethnicity', 'Discrimination', 'Transportation', 'Segregation and Desegregation', 'Biographical Information']"
The Many Chapters of Mary Ellen Pleasant,2019-02-01,multimedia,Interactive Feature,,"['Blacks', 'Black People', 'Race and Ethnicity', 'Discrimination', 'Entrepreneurship', 'Slavery (Historical)', 'Biographical Information']"
"Oscar Micheaux, Intrepid Creator of Films on Race",2019-02-01,multimedia,Interactive Feature,,"['Blacks', 'Black People', 'Race and Ethnicity', 'Movies', 'Biographical Information', 'Discrimination']"
"Granville T. Woods, Inventor Known as ‘Black Edison’",2019-02-01,multimedia,Interactive Feature,,"['Blacks', 'Black People', 'Race and Ethnicity', 'Inventions and Patents', 'Subways', 'Engineering and Engineers', 'Biographical Information']"
"Nina Mae McKinney, Who Defied the Barriers of Race to Find Stardom",2019-02-01,multimedia,Interactive Feature,,"['Race and Ethnicity', 'Blacks', 'Black People', 'ACTORS AND ACTRESSES', 'Discrimination', 'Biographical Information']"
"Alfred Hair, Whose Collective Created a Path for Black Artists",2019-02-01,multimedia,Interactive Feature,,"['Blacks', 'Black People', 'Art', 'Discrimination', 'Biographical Information']"
"Zelda Wynn, Fashion Designer to the Stars",2019-02-01,multimedia,Interactive Feature,,"['Fashion and Apparel', 'Blacks', 'Black People', 'Race and Ethnicity', 'Biographical Information']"
"Margaret Garner, a Runaway Slave Who Killed Her Own Daughter",2019-02-01,multimedia,Interactive Feature,,"['Slavery (Historical)', 'Blacks', 'Black People', 'Race and Ethnicity', 'Discrimination', 'Biographical Information']"
"Scott Joplin, Ragtime Master Who Wrote ‘The Entertainer’",2019-02-01,multimedia,Interactive Feature,,"['Blacks', 'Black People', 'Race and Ethnicity', 'Discrimination', 'Music', 'Pianos', 'Biographical Information']"
"Gladys Bentley, Gender-Bending Blues Performer and ’20s Harlem Royalty",2019-02-01,multimedia,Interactive Feature,,"['Blacks', 'Black People', 'Race and Ethnicity', 'Music', 'Biographical Information']"
Jennifer Hudson Will Sing at the Oscars as Academy Relents on 2 Songs,2019-02-01,article,News,,"['Academy Awards (Oscars)', 'Movies']"
"Kamala Harris, Call-Out Star",2019-02-01,article,Op-Ed,,['Presidential Election of 2020']
Apple Shows Facebook Who Has the Power in an App Dispute,2019-02-01,article,News,,"['Mobile Applications', 'Social Media', 'Privacy', 'Data-Mining and Database Marketing', 'iPhone']"
Washington’s Cold Hypocrisy on New York’s Public Housing,2019-02-01,article,Editorial,,['Public and Subsidized Housing']
"Amazon’s Sales Growth Slows, Even as Cloud Business Stays Hot",2019-02-01,article,News,,"['Company Reports', 'E-Commerce', 'Cloud Computing', 'ADVERTISING AND MARKETING']"
Venezuela’s Crisis Reveals Disputes Among Power Brokers at Home and Abroad,2019-02-01,article,News,,"['Politics and Government', 'Demonstrations, Protests and Riots', 'Elections', 'United States International Relations']"
Brazil’s Lethal Environmental Negligence,2019-02-01,article,Editorial,,"['Mines and Mining', 'Accidents and Safety', 'Levees and Dams', 'Hazardous and Toxic Substances']"
"Trump, Pence Lead G.O.P. Seizure of Late-Term Abortion as a Potent 2020 Issue",2019-02-01,article,News,,"['ABORTION', 'Presidential Election of 2020', 'United States Politics and Government']"
Life Lessons From Jarrod and Briony Lyle,2019-02-01,article,Newsletter,,"['Golf', 'Leukemia']"
"Trump, in Interview, Calls Wall Talks ‘Waste of Time’ and Dismisses Investigations",2019-02-01,article,News,,"['United States Politics and Government', 'Shutdowns (Institutional)', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Presidential Election of 2020', 'Special Prosecutors (Independent Counsel)']"
