headline,date,doc_type,material_type,section,keywords
NewSchools Fund Attracts More Capital,2013-05-01,article,News,,"['Education (K-12)', 'Venture Capital', 'Charter Schools', 'Philanthropy', 'Computers and the Internet']"
"Years Later, Barnes Gets a Big Hit Off Pettitte ",2013-05-01,article,News,,['Baseball']
"Equipped to Weather Big Storms, a Jersey City Tower Draws Tenants",2013-05-01,article,News,,"['Real Estate (Commercial)', 'Renting and Leasing (Real Estate)', 'Hurricane Sandy (2012)', 'Infrastructure (Public Works)']"
Chris Matthews Signs Long-Term Extension With MSNBC,2013-05-01,article,News,,[]
Advocates Say Managed-Care Plans Shun the Most Disabled Medicaid Users,2013-05-01,article,News,,"['Health Insurance and Managed Care', 'Disabilities', 'Medicaid', 'Frauds and Swindling', 'Elderly']"
"In the World of Content, Web Follows a Trail Left by TV",2013-05-01,article,News,,"['Web-Original Programming', 'Online Advertising', 'Computers and the Internet', 'ADVERTISING AND MARKETING', 'Upfronts (Television)']"
"Miami’s Condo Market Rebounds, Stoking a Building Boom",2013-05-01,article,News,,"['Real Estate and Housing (Residential)', 'Real Estate (Commercial)', 'United States Economy', 'Building (Construction)', 'Foreign Investments', 'Condominiums']"
"In New Hampshire, Senator Finds Her Vote on Gun Bill Is Hot Topic",2013-05-01,article,News,,['Gun Control']
Chinese Way of Doing Business: In Cash We Trust,2013-05-01,article,News,,['Renminbi (Currency)']
Massachusetts: Aid Promised for Victims Who Lost Limbs,2013-05-01,article,Brief,,"['Boston Marathon Bombings (2013)', 'Prostheses', 'AMPUTATION']"
Kerry Calls Arab League Plan to Revive Talks With Israel a ‘Big Step’,2013-05-01,article,News,,"['Palestinians', 'International Relations', 'United States International Relations']"
"Deanna Durbin, Plucky Movie Star of the Depression Era, Is Dead at 91",2013-05-01,article,Obituary (Obit),,"['Movies', 'Deaths (Obituaries)']"
Leader of Hezbollah Warns It Is Ready to Come to Syria’s Aid,2013-05-01,article,News,,"['Middle East and North Africa Unrest (2010- )', 'Defense and Military Forces', 'Shiite Muslims', 'Demonstrations, Protests, and Riots']"
Critics of Israel’s West Bank Occupation Say Calm Before New Violence Was an Illusion,2013-05-01,article,News,,"['Israeli Settlements', 'Palestinians']"
The Frankfurter Diaries,2013-05-01,article,News,,"['Food', 'Hot Dogs and Frankfurters']"
No Penalty for Singh for Using a Hormone,2013-05-01,article,News,,"['Golf', 'Doping (Sports)']"
With a Friend Like Rudy ...,2013-05-01,article,Editorial,,"['Elections, Mayors', 'Editorials']"
"‘Ghost Money,’ and Lots of It",2013-05-01,article,Editorial,,"['Afghanistan War (2001- )', 'Editorials']"
Flooded Factory Is Brought Back by Its Workers,2013-05-01,article,News,,"['Hurricane Sandy (2012)', 'Factories and Manufacturing', 'Floods']"
Koch Brothers Plan More Political Involvement for Their Conservative Network,2013-05-01,article,News,,"['Political Action Committees', 'Conservatism (US Politics)', 'United States Politics and Government', 'Presidential Election of 2012', 'Voting and Voters']"
The President and the Hunger Strike,2013-05-01,article,Editorial,,"['Detainees', 'Hunger Strikes', 'Editorials']"
It’s a 401(k) World,2013-05-01,article,Op-Ed,,"['Labor and Jobs', 'Computers and the Internet', 'Education']"
Banks Rally Against Strict Controls of Foreign Bets,2013-05-01,article,News,,"['Banking and Financial Institutions', 'Derivatives (Financial Instruments)', 'Dodd-Frank Wall Street Reform and Consumer Protection Act (2010)', 'Regulation and Deregulation of Industry']"
"Bottoms Up, Lame Duck",2013-05-01,article,Op-Ed,,['United States Politics and Government']
Is Cursive Dead?,2013-05-01,article,News,,[]
Domestic Abuse Aftermath,2013-05-01,article,Letter,,"['Psychology and Psychologists', 'Domestic Violence']"
Tobacco Use by Youths,2013-05-01,article,Letter,,"['Smoking and Tobacco', 'Age, Chronological']"
How to Respond to the Syria Conflict,2013-05-01,article,Letter,,"['Middle East and North Africa Unrest (2010- )', 'Muslims and Islam', 'International Relations']"
Working Out the Kinks in the Health Care Act,2013-05-01,article,Letter,,"['Patient Protection and Affordable Care Act (2010)', 'Health Insurance and Managed Care', 'Reform and Reorganization']"
"As Bombing Inquiry Proceeds, Obama Offers Measured Praise for F.B.I.",2013-05-01,article,News,,['Boston Marathon Bombings (2013)']
Lottery Numbers,2013-05-01,article,List,,['Lotteries']
The Anthony and Smith the Knicks Don’t Want,2013-05-01,article,News,,"['Basketball', 'Playoff Games']"
Attention-Deficit Drugs Face New Campus Rules,2013-05-01,article,News,,"['Colleges and Universities', 'Attention Deficit Hyperactivity Disorder', 'Drugs (Pharmaceuticals)', 'ADDERALL (DRUG)', 'Drug Abuse and Traffic']"
Harvard Student’s Suicide as a Case Study,2013-05-01,article,News,,"['Attention Deficit Hyperactivity Disorder', 'Colleges and Universities', 'Drugs (Pharmaceuticals)', 'ADDERALL (DRUG)', 'Suicides and Suicide Attempts']"
"The Most Hated Bangladeshi, Toppled From a Shady Empire",2013-05-01,article,News,,"['Rana Plaza Building Collapse, Bangladesh (2013)', 'Accidents and Safety', 'Factories and Manufacturing', 'Fashion and Apparel']"
Retailers Split on Contrition After Collapse of Factories,2013-05-01,article,News,,"['Rana Plaza Building Collapse, Bangladesh (2013)', 'Factories and Manufacturing', 'Accidents and Safety', 'Fashion and Apparel']"
"For Toronto’s Kessel, Just ‘Another Game’ Awaits in Boston",2013-05-01,article,News,,[]
Legislation Would Give Usada Authority Over Drugs in Racing,2013-05-01,article,News,,"['Horse Racing', 'Doping (Sports)', 'Law and Legislation']"
"With Democratic Mayoral Field in Flux, de Blasio Assails Quinn",2013-05-01,article,News,,"['Elections, Mayors']"
A Fun Holiday to Celebrate,2013-05-01,article,News,,['Crossword Puzzles']
Guatemala: Former Dictator’s Genocide Trial Resumes,2013-05-01,article,Brief,,"['Decisions and Verdicts', 'War Crimes, Genocide and Crimes Against Humanity']"
