headline,date,doc_type,material_type,section,keywords
Human Rights Group Says Two U.S. Strikes Killed Somali Civilians,2020-04-01,article,News,,"['Civilian Casualties', 'Terrorism', 'United States Defense and Military Forces']"
‘Never Thought I Would Need It’: Americans Put Pride Aside to Seek Aid,2020-04-01,article,News,,"['Unemployment', 'Food Banks and Pantries', 'Layoffs and Job Reductions', 'Philanthropy', 'Coronavirus (2019-nCoV)']"
"$30 Million in Illegal Drugs Seized From Cross-Border Tunnel in San Diego, U.S. Says",2020-04-01,article,News,,"['Drug Abuse and Traffic', 'Border Barriers', 'Smuggling', 'Immigration and Emigration', 'Organized Crime']"
"As Furloughs Grow, Kennedy Center Defends Use of $25 Million in Aid",2020-04-01,article,News,,"['Finances', 'Art', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'United States Politics and Government']"
Historic Town in Veszprém County,2020-04-01,article,News,,['Crossword Puzzles']
Trump Calls New Fuel Economy Rule a Boon. Some Experts See Steep Costs.,2020-04-01,article,News,,"['Global Warming', 'Environment', 'Greenhouse Gas Emissions', 'United States Politics and Government', 'Fuel Efficiency', 'Regulation and Deregulation of Industry', 'United States Economy']"
This Broccoli-Dill Pasta Has a Hippie Twist. Your Kids Will Love It.,2020-04-01,article,News,,"['Cooking and Cookbooks', 'Vegetables', 'Broccoli', 'Recipes']"
"Quotation of the Day: Cases Spiral Aboard an Aircraft Carrier, and a Commander Pleads for Help",2020-04-01,article,Quote,,[]
"Corrections: April 1, 2020",2020-04-01,article,Correction,,[]
"Wallace Roney, Jazz Trumpet Virtuoso, Is Dead at 59",2020-04-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Jazz', 'Coronavirus (2019-nCoV)']"
"Coronavirus, Donald Trump, Asia: Your Wednesday Briefing",2020-04-01,article,briefing,,[]
Fire at Bronx Apartment Building Kills 4,2020-04-01,article,News,,"['Fires and Firefighters', 'Deaths (Fatalities)']"
"Coronavirus Spreads Amid Supply Shortages, Stay-at-Home Orders and Sobering Economics",2020-04-01,article,News,,"['Coronavirus (2019-nCoV)', 'Epidemics', 'Deaths (Fatalities)']"
Retailers Under Pressure to Protect Workers,2020-04-01,article,News,,"['United States Economy', ""Standard & Poor's 500-Stock Index"", 'Stocks and Bonds', 'Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'International Trade and World Market']"
What’s on TV Wednesday: ‘Baghdad Central’ and a Sketch Comedy Show,2020-04-01,article,News,,"['Television', 'Movies']"
Word + Quiz: limn,2020-04-01,article,News,,[]
"Empire State Building Coronavirus Tribute Rang a False Alarm, Fallon Jokes",2020-04-01,article,News,,[]
