headline,date,doc_type,material_type,section,keywords
Excerpts From the Ethnic Press,2011-01-01,article,Text,,"['Newspapers', 'Spanish Language', 'Jews and Judaism', 'Chinese Language']"
A Time for Gravy and Football,2011-01-01,article,News,,"['Cooking and Cookbooks', 'Bakeries and Baked Products', 'Television']"
Conflict’s Many Marks on the Map,2011-01-01,article,Review,,['Art']
The Wilderness Below Your Feet,2011-01-01,article,News,,"['Sewers', 'Exploration and Explorers']"
Chronicle of a Changing City,2011-01-01,article,News,,"['Golf', 'Snow and Snowstorms']"
A Medieval Skill Is Nurtured in Gold-Leaf Splendor,2011-01-01,article,Review,,"['Art', 'Internships']"
Chancellor Black: Please Consider This,2011-01-01,article,News,,"['Principals (School)', 'Education (K-12)']"
"New Yorkers in Feathers, Counted in the Cold",2011-01-01,article,News,,"['Birdwatching', 'Birds']"
"Old Movie Palaces, Trying on the New",2011-01-01,article,News,,"['Restoration and Renovation', 'Theater', 'Movies']"
A Kurdish Rebel Softens His Tone for Skeptical Ears,2011-01-01,article,Biography,,['Kurds']
"Missing the A Train, and Taking Not-the-Quickest Way",2011-01-01,article,News,,"['Snow and Snowstorms', 'Subways']"
A Blizzard of Blame,2011-01-01,article,,,"['Disasters and Emergencies', 'Snow and Snowstorms']"
A Push to Privatize Pennsylvania Liquor Stores,2011-01-01,article,News,,"['Politics and Government', 'ALCOHOLIC BEVERAGES', 'Privatization']"
"Wisconsin State Workers Fret, as G.O.P. Takes Over",2011-01-01,article,News,,"['Governors (US)', 'Politics and Government', 'Government Employees']"
"In California, Few Signs of Transition",2011-01-01,article,News,,"['Politics and Government', 'Governors (US)']"
Power Shift Toward G.O.P. Resonates in 3 States,2011-01-01,article,News,,"['Politics and Government', 'Governors (US)', 'States (US)']"
"Giving Alzheimer’s Patients Their Way, Even Chocolate",2011-01-01,article,News,,"['Medicine and Health', 'Elder Care', 'Nursing Homes', ""Alzheimer's Disease""]"
American Airlines Barred From Safety Board Inquiry,2011-01-01,article,News,,"['Accidents and Safety', 'AIRLINES AND AIRPLANES']"
"Guilty Verdict for a Tycoon, and Russia",2011-01-01,article,News,,"['Foreign Investments', 'Frauds and Swindling']"
The Week in Pictures for Dec. 31,2011-01-01,multimedia,Slideshow,,['Photography']
Turkey: 10 Suspects Held in Attack Plot,2011-01-01,article,Brief,,['Terrorism']
The Week in Pictures for Dec. 31,2011-01-01,article,,,[]
Giants’ Slide Could Make a 10th Win Worthless,2011-01-01,article,News,,"['Football', 'Playoff Games']"
"Back in Albany, 16 Years Later, to Serve Another Gov. Cuomo",2011-01-01,article,News,,"['Governors (US)', 'Appointments and Executive Changes', 'Politics and Government', 'Elections']"
Iraq Moves to Ban Toy Guns as Play Turns Real,2011-01-01,article,News,,"['Firearms', 'Accidents and Safety', 'Children and Youth', 'Toys']"
New York Tries to Plow Its Way Back to Normal,2011-01-01,article,News,,['Snow and Snowstorms']
Turkey Withdraws as Host of European Women’s Chess Championship,2011-01-01,article,,,['Chess']
Missing Pieces Temper Knicks’ Resurgence,2011-01-01,article,News,,['Basketball']
Tiding a Couple Over and Helping Their Daughter Learn to Dance,2011-01-01,article,News,,['Philanthropy']
"Texas Rivals Are Older, Wiser and Tough as Ever",2011-01-01,article,News,,['Basketball']
Seceding from Secession,2011-01-01,article,,,['Civil War (US) (1861-65)']
"A Building, and a City, as a Way Station to a Better Life",2011-01-01,article,News,,"['Refugees and Displaced Persons', 'Immigration and Emigration', 'Migrant and Foreign Workers']"
"In Ivory Coast, Bid to Ease Out Defiant Leader",2011-01-01,article,News,,['Politics and Government']
"For Alzheimer’s Patients, Focusing on Comfort",2011-01-01,multimedia,Slideshow,,"[""Alzheimer's Disease"", 'Nursing Homes', 'Elder Care', 'Medicine and Health']"
"This Year, Change Your Mind",2011-01-01,article,Op-Ed,,"['Brain', 'Research', 'Memory']"
Lottery Numbers,2011-01-01,article,List,,['Lotteries']
Political Battle on Illegal Immigration Shifts to States,2011-01-01,article,News,,"['Arizona Immigration Law (SB 1070)', 'State Legislatures', 'States (US)', 'Illegal Immigrants', 'Law and Legislation', 'Politics and Government', 'Federal-State Relations (US)', 'Immigration and Emigration']"
Rose Bowl Matchup,2011-01-01,article,,,['Bowl Games']
New Year’s Day Schedules in New York Region,2011-01-01,article,List,,[]
Fiesta Bowl Matchup,2011-01-01,article,,,"['Bowl Games', 'Football']"
An America’s Cup by the Bay: San Francisco Is Chosen as the 2013 Host,2011-01-01,article,News,,"[""AMERICA'S CUP"", 'Sailboats and Sailing']"
Boomers Hit New Self-Absorption Milestone: Age 65,2011-01-01,article,News,,"['Elderly', 'Longevity', 'New Year', 'Baby Boomers']"
The Next Treaties,2011-01-01,article,Editorial,,"['ARMS CONTROL AND LIMITATION AND DISARMAMENT', 'Nuclear Weapons', 'Strategic Arms Reduction Treaty', 'United States International Relations', 'Treaties', 'Nuclear Tests', 'Comprehensive Nuclear Test Ban Treaty']"
What a Property Tax Cap Would Do,2011-01-01,article,Letter,,"['Taxation', 'Property Taxes']"
The End-of-the-Year Quiz,2011-01-01,article,Op-Ed,,['New Year']
Success and Failure on the G.E.D.,2011-01-01,article,Editorial,,"['General Educational Development Test (GED)', 'Tests and Testing', 'States (US)', 'Labor and Jobs', 'Education (K-12)']"
Still Tinkering,2011-01-01,article,Editorial,,"['United States Politics and Government', 'Terrorism']"
Changing Notions of Friendship in the Facebook Era,2011-01-01,article,Letter,,"['Social Networking (Internet)', 'Friendship']"
Reforming Juvenile Justice,2011-01-01,article,Letter,,"['Juvenile Delinquency', 'Children and Youth']"
Plea for Pollard’s Release,2011-01-01,article,Letter,,"['Classified Information and State Secrets', 'Prisons and Prisoners', 'Sentences (Criminal)']"
A Year Anew,2011-01-01,article,Editorial,,['New Year']
"For Two Sisters, the End of an Ordeal",2011-01-01,article,Op-Ed,,"['Crime and Criminals', 'Prisons and Prisoners', 'Sentences (Criminal)']"
Corrections,2011-01-01,article,Correction,,[]
"In College, Coaches Can Be Married Only to the Job",2011-01-01,article,News,,"['Single Persons', 'Football', 'College Athletics', 'Coaches and Managers']"
