headline,date,doc_type,material_type,section,keywords
Bancrofts Agree to Meet with Murdoch,2007-06-01,article,News,,[]
Giambi Gives In to the Pain,2007-06-01,article,News,,[]
"Topic A, for Abduction",2007-06-01,article,News,,[]
Congress Wants to Define Exactly What Abusive Tax Shelters Are,2007-06-01,article,News,,"['United States Politics and Government', 'Tax Shelters', 'Law and Legislation']"
Movie Guide and Film Series,2007-06-01,article,News,,[]
Ruling Favors Developer’s Plan for Vacant East Village School,2007-06-01,article,News,,"['Area Planning and Renewal', 'Building (Construction)']"
Wie’s Day Ends With Wrong Kind of Buzz,2007-06-01,article,News,,['Golf']
"Teacher’s Novel, and Its Aftermath, Stir Up a Bronx School",2007-06-01,article,News,,"['Education and Schools', 'Books and Literature', 'Private and Sectarian Schools']"
"Top Lawyer, Under Fire, May Depart",2007-06-01,article,News,,"['Suspensions, Dismissals and Resignations', 'Legal Profession']"
Civil War and Civil Ways,2007-06-01,article,News,,[]
Genome of DNA Discoverer Is Deciphered,2007-06-01,article,News,,"['Genetics and Heredity', 'DNA (Deoxyribonucleic Acid)']"
One Place Where Obama Goes Elbow to Elbow,2007-06-01,article,News,,"['Basketball', 'Presidential Election of 2008']"
"Tragedy, Too, Is in the Eye of the Beholder",2007-06-01,article,Review,,"['MOTION PICTURES', 'Documentary Films and Programs']"
Trenton: State Exceeds Insurance Goal,2007-06-01,article,Brief,,[]
Ambush Kills 16 Policemen on Highway in Afghanistan,2007-06-01,article,News,,"['UNITED STATES ARMAMENT AND DEFENSE', 'Police']"
Columbia Settles Student Loan Case,2007-06-01,article,News,,[]
Jazz Listings,2007-06-01,article,News,,[]
Revisiting a Composer’s Distinct Experiments in Sound,2007-06-01,article,Review,,['Classical Music']
New Hampshire Adopts Same-Sex Unions,2007-06-01,article,News,,"['Homosexuality', 'Marriages', 'Law and Legislation']"
Hard-Won Garbage Plan Runs Into Trouble in Albany,2007-06-01,article,News,,"['Waste Materials and Disposal', 'Politics and Government']"
Inspired by a Modern Marvel: Insurance,2007-06-01,article,News,,['Insurance']
Wachovia in Deal to Acquire A.G. Edwards,2007-06-01,article,News,,"['Mergers, Acquisitions and Divestitures', 'Brokers and Brokerage Firms']"
Estonia: Settlements in S.E.C. Case,2007-06-01,article,Brief,,[]
Corrections: For the Record,2007-06-01,article,Correction,,[]
Be Our Guests,2007-06-01,article,Op-Ed,,"['Third World and Developing Countries', 'International Trade and World Market', 'Economic Conditions and Trends', 'LABOR', 'Law and Legislation', 'IMMIGRATION AND REFUGEES']"
Senate Panel Questions C.I.A. Detentions,2007-06-01,article,News,,['Terrorism']
India: Expansion at Two-Decade High,2007-06-01,article,Brief,,['Economic Conditions and Trends']
Corrections: For the Record,2007-06-01,article,Correction,,[]
"Big, Gritty Chongqing, City of 12 Million, Is China’s Model for Future",2007-06-01,article,News,,"['Urban Areas', 'Population', 'Economic Conditions and Trends']"
Mickelson Drops Out of Memorial With Injured Wrist,2007-06-01,article,News,,['Golf']
Sunni Fighters Battle Al Qaeda in Baghdad,2007-06-01,article,News,,[]
"In Casting for President, Will Actor Rate a Callback?",2007-06-01,article,News,,['Presidential Election of 2008']
Bush Proposes Goals on Greenhouse Gas Emissions,2007-06-01,article,News,,"['Air Pollution', 'Global Warming', 'Environment']"
A Back Door for Terrorists,2007-06-01,article,Op-Ed,,"['IMMIGRATION AND REFUGEES', 'Terrorism']"
Rockets Fray Nerves in Israeli ‘Bull’s-Eye’ City,2007-06-01,article,News,,"['Palestinians', 'Stress (Human)', 'ANXIETY', 'Bombs and Explosives']"
Chief Says G.E. Aims to Match the Growth Pace Set by India,2007-06-01,article,News,,"['Foreign Investments', 'Energy and Power']"
Art in Review,2007-06-01,article,News,,"['Reviews', 'Art']"
Mideast Meeting May Take Place in Palestinian Area,2007-06-01,article,News,,"['Palestinians', 'International Relations']"
Court Says New Jersey Official Was Wrong to Permit Angioplasties,2007-06-01,article,News,,"['Medicine and Health', 'ANGIOPLASTY']"
Iran Seen to Make Concession in Nuclear Talks,2007-06-01,article,News,,[]
The Real Al Gore (2 Letters),2007-06-01,article,Letter,,['Books and Literature']
Dell Reports Better-Than-Expected Profit,2007-06-01,article,News,,"['Company Reports', 'Computers and the Internet']"
Enough Space for Me and My Sailboard,2007-06-01,article,News,,"['Travel and Vacations', 'Housing']"
Top Bush Aide Is Leaving White House,2007-06-01,article,News,,['United States Politics and Government']
Rodriguez Keeps Straddling Baseball’s Foul Line,2007-06-01,article,News,,['Baseball']
Pop and Rock Listings,2007-06-01,article,News,,[]
"In Cajun Country, a Fight to the Finish",2007-06-01,article,News,,"['Travel and Vacations', 'ANIMALS']"
Spare Times: For Children,2007-06-01,article,News,,[]
"Faith, Reason and a G.O.P. Hopeful (8 Letters)",2007-06-01,article,Letter,,"['Evolution', 'Science and Technology']"
Agencies and Networks Ponder Nielsen Ad Ratings,2007-06-01,article,News,,"['Ratings and Rating Systems', 'ADVERTISING AND MARKETING', 'Television']"
"Ancient Aboriginal Tales, Parallel Across Epochs",2007-06-01,article,Review,,"['MOTION PICTURES', 'ABORIGINES', 'Documentary Films and Programs']"
Manhattan: Man Denies Raping Student,2007-06-01,article,Brief,,[]
Corrections: For the Record,2007-06-01,article,Correction,,[]
BHP Billiton Selects a Chief Executive,2007-06-01,article,Brief,,['Appointments and Executive Changes']
Overshadowed Spurs Are Rarely Overmatched,2007-06-01,article,News,,['Basketball']
"If Adventure Is the Topic, the Talk Isn’t Cheap",2007-06-01,article,News,,"['Travel and Vacations', 'Mountain Climbing', 'Exploration and Explorers']"
"After Crash, No New Speeding Rule for Corzine’s Drivers",2007-06-01,article,News,,['Accidents and Safety']
Wal-Mart Scales Back Expansion Plans,2007-06-01,article,News,,['RETAIL STORES AND TRADE']
What Mexico Wants,2007-06-01,article,Op-Ed,,"['Law and Legislation', 'IMMIGRATION AND REFUGEES']"
"William Meredith, 88, Poet Who Wed Depth to Form, Dies",2007-06-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Poetry and Poets']"
Administration Rebukes Putin on His Policies,2007-06-01,article,News,,"['Leaders and Leadership', 'United States International Relations', 'Freedom and Human Rights', 'Politics and Government']"
What Seller Wants a Low Price?,2007-06-01,article,News,,"['APPRAISALS AND VALUATION', 'Auctions', 'Stock Options and Purchase Plans', 'Stocks and Bonds']"
"Now Batting for the Yankees, Lindsay Lohan",2007-06-01,article,News,,"['Celebrities', 'Athletics and Sports']"
Richmond’s Old South Roots Are Never Far Away,2007-06-01,article,News,,"['Travel and Vacations', 'History', 'Civil War (US) (1861-65)']"
Trenton: Republicans Demand Corzine’s E-Mail,2007-06-01,article,Brief,,[]
A Wobbly Quarter for Sears and Costco,2007-06-01,article,News,,"['Company Reports', 'RETAIL STORES AND TRADE']"
Fighting Resumes at Camp in Lebanon,2007-06-01,article,News,,[]
"Out of Africa, Eclectic Visions",2007-06-01,article,News,,"['Art', 'Museums']"
Detour on the Scott Boras Expressway,2007-06-01,article,News,,['Baseball']
Detroit Finds Agreement on the Need to Be Green,2007-06-01,article,News,,"['Environment', 'Global Warming', 'Automobiles']"
Bush Accuses Opponents of Immigration Bill of Fear-Mongering,2007-06-01,article,News,,"['IMMIGRATION AND REFUGEES', 'United States Politics and Government']"
"Correction: Museum Row, for Children",2007-06-01,article,Correction,,[]
Dow Jones Says It Will Consider Options for Sale,2007-06-01,article,News,,"['Mergers, Acquisitions and Divestitures', 'News and News Media', 'Newspapers']"
Education Department Issues Rules for Student Loans,2007-06-01,article,News,,['Student Loans']
"Accolades, Some Tearful, for a Preacher in His Twilight Years",2007-06-01,article,News,,"['Christians and Christianity', 'Libraries and Librarians']"
First-Quarter Revision Shows Economy at Slowest Pace Since Late 2002,2007-06-01,article,News,,"['United States Economy', 'International Trade and World Market', 'Economic Conditions and Trends', 'Recession and Depression']"
The Hot List,2007-06-01,article,News,,[]
A Dad Hunt That Ends in Ohio,2007-06-01,article,Review,,"['Families and Family Life', 'Television']"
Judge Criticizes Police Dept. for Illegal Loitering Arrests,2007-06-01,article,News,,"['Police', 'Beggars']"
U.S. Economic Growth Weakest in Over 4 Years,2007-06-01,article,News,,"['United States Economy', 'Gross Domestic Product', 'Economic Conditions and Trends']"
